	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 1	 g: 0	 b: 0
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 0.46143986327707753	 g: 0.5833002716147343	 b: 0.7449873348185675
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695
	 r: 0.5646229438154241	 g: 0.6811426129947813	 b: 0.023316141239661855
done
